game_id,game_date,season,home_team,away_team,home_lineup_status,away_lineup_status,home_lineup_players_count,away_lineup_players_count,home_top4_batters_available,away_top4_batters_available,home_missing_key_batters_count,away_missing_key_batters_count,home_lineup_obp_proxy,away_lineup_obp_proxy,home_lineup_slg_proxy,away_lineup_slg_proxy,home_lineup_strength_score,away_lineup_strength_score,home_lineup_downgrade_score,away_lineup_downgrade_score,lineup_data_quality,lineup_warnings
,,,,,missing,missing,0,0,0,0,4,4,,,,,0.0,0.0,0.85,0.85,missing,Lineup data unavailable before this game. | Home lineup remains missing because no safe pre-game batting proxy was available. | Away lineup remains missing because no safe pre-game batting proxy was available. | Lineup / player layer is research only and uses team-level proxies when confirmed player lineups are unavailable. | No paid or authenticated lineup API is used.
,,,,,missing,missing,0,0,0,0,4,4,,,,,0.0,0.0,0.85,0.85,missing,Lineup data unavailable before this game. | Home lineup remains missing because no safe pre-game batting proxy was available. | Away lineup remains missing because no safe pre-game batting proxy was available. | Lineup / player layer is research only and uses team-level proxies when confirmed player lineups are unavailable. | No paid or authenticated lineup API is used.
,,,,,missing,missing,0,0,0,0,4,4,,,,,0.0,0.0,0.85,0.85,missing,Lineup data unavailable before this game. | Home lineup remains missing because no safe pre-game batting proxy was available. | Away lineup remains missing because no safe pre-game batting proxy was available. | Lineup / player layer is research only and uses team-level proxies when confirmed player lineups are unavailable. | No paid or authenticated lineup API is used.
,,,,,missing,missing,0,0,0,0,4,4,,,,,0.0,0.0,0.85,0.85,missing,Lineup data unavailable before this game. | Home lineup remains missing because no safe pre-game batting proxy was available. | Away lineup remains missing because no safe pre-game batting proxy was available. | Lineup / player layer is research only and uses team-level proxies when confirmed player lineups are unavailable. | No paid or authenticated lineup API is used.
,,,,,missing,missing,0,0,0,0,4,4,,,,,0.0,0.0,0.85,0.85,missing,Lineup data unavailable before this game. | Home lineup remains missing because no safe pre-game batting proxy was available. | Away lineup remains missing because no safe pre-game batting proxy was available. | Lineup / player layer is research only and uses team-level proxies when confirmed player lineups are unavailable. | No paid or authenticated lineup API is used.
,,,,,missing,missing,0,0,0,0,4,4,,,,,0.0,0.0,0.85,0.85,missing,Lineup data unavailable before this game. | Home lineup remains missing because no safe pre-game batting proxy was available. | Away lineup remains missing because no safe pre-game batting proxy was available. | Lineup / player layer is research only and uses team-level proxies when confirmed player lineups are unavailable. | No paid or authenticated lineup API is used.
,,,,,missing,missing,0,0,0,0,4,4,,,,,0.0,0.0,0.85,0.85,missing,Lineup data unavailable before this game. | Home lineup remains missing because no safe pre-game batting proxy was available. | Away lineup remains missing because no safe pre-game batting proxy was available. | Lineup / player layer is research only and uses team-level proxies when confirmed player lineups are unavailable. | No paid or authenticated lineup API is used.
,,,,,missing,missing,0,0,0,0,4,4,,,,,0.0,0.0,0.85,0.85,missing,Lineup data unavailable before this game. | Home lineup remains missing because no safe pre-game batting proxy was available. | Away lineup remains missing because no safe pre-game batting proxy was available. | Lineup / player layer is research only and uses team-level proxies when confirmed player lineups are unavailable. | No paid or authenticated lineup API is used.
,,,,,missing,missing,0,0,0,0,4,4,,,,,0.0,0.0,0.85,0.85,missing,Lineup data unavailable before this game. | Home lineup remains missing because no safe pre-game batting proxy was available. | Away lineup remains missing because no safe pre-game batting proxy was available. | Lineup / player layer is research only and uses team-level proxies when confirmed player lineups are unavailable. | No paid or authenticated lineup API is used.
,,,,,missing,missing,0,0,0,0,4,4,,,,,0.0,0.0,0.85,0.85,missing,Lineup data unavailable before this game. | Home lineup remains missing because no safe pre-game batting proxy was available. | Away lineup remains missing because no safe pre-game batting proxy was available. | Lineup / player layer is research only and uses team-level proxies when confirmed player lineups are unavailable. | No paid or authenticated lineup API is used.
